Zip,#2Oil,Electric,Natural Gas,Steam,Stormwater,Water,TotalCost
2108,596.60875,4102.491176,1939.685556,0,161.64,807.6385714,277
02108-4301,0,3791.557143,0,0,0,53.16294118,204
2109,0,3904.758824,1535.011111,0,290.952,2016.692381,282
2110,0,5079.643529,4170.233889,0,463.368,736.2173684,316
2110,0,46.92307692,0,0,0,0,354
2111,0,5280.568235,5889.265,0,53.88,3620.334286,274
02111-2406,0,0,0,0,0,1.99,257
2113,0,3016.137647,17940.545,0,269.4,1195.431429,207
02113-1914,0,0,0,0,0,378.0431579,388
2114,0,7282.916471,5747.695,0,32.328,2601.424286,348
2115,1282.715,16395.29353,15262.04556,0,193.968,2438.944762,370
2115,0,15.38785714,0,0,0,0,261
02115-3005,0,0,0,0,0,344.6004762,397
2116,0,13589.92294,11777.45056,0,431.04,4819.047619,374
02116-4808,0,0,0,0,0,0,373
2117,0,0,0,49380.10105,8.98,0,211
2118,2186.048,15398.47765,42103.9581,41333.06846,738.156,5901.758571,241
2119,0,31888.83059,123945.7258,0,1196.136,18170.28524,286
2119,0,56.520625,0,0,0,0,375
02119-1216,0,0,0,0,0,0.268888889,251
2120,0,7183.010625,41458.62105,0,204.744,3251.938571,273
2121,3391.984286,10198.33118,69110.35389,0,571.128,11692.28,399
2121,0,2.56,0,0,0,0,315
2122,0,10961.54438,33879.26111,0,1000.372,8419.285238,202
2122,0,1.904666667,0,0,0,0,331
02122-1223,0,0,0,0,0,556.3457143,206
2124,1376.641429,23165.25063,61718.58444,0,682.48,11370.69762,272
2124,0,2.418666667,0,0,0,0,325
2125,5990.592222,12865.5575,43590.60278,0,312.504,7548.465238,338
2126,0,7536.29375,27432.2719,0,416.672,4785.808095,395
02126-1510,0,0,0,0,0,146.0457143,286
2127,1075.42,17074.22938,40332.87056,0,211.928,9201.178571,395
02127-1805,0,0,0,0,0,23.59315789,224
2128,929.1244444,33882.21412,97274.03444,0,1095.56,8009.054762,302
2128,0,72.13846154,0,0,0,0,328
02128-2511,0,0,0,0,0,4.086111111,313
2129,0,31015.59647,29440.95889,0,955.472,5687.272857,205
2130,2364.635556,9316.925882,48110.85667,0,905.184,10779.70238,212
02130-3105,0,0,0,0,0,496.5528571,387
2131,6206.722857,11326.44381,47433.81056,0,147.272,7836.01381,345
02131-2522,0,0,0,0,0,269.7352381,372
2132,0,21388.16625,35020.36889,0,344.832,7728.527143,349
2132,0,1.21,0,0,0,0,377
2134,0,3310.345625,24198.98167,0,312.504,812.0147619,219
2135,1532.02,21481.90059,42313.19444,0,441.816,5286.862857,354
2135,0,4.923333333,0,0,0,0,262
02135-0000,0,0,0,0,0,0,244
02135-1629,0,0,0,0,0,171.9226316,328
02135-1944,0,0,0,0,0,33.35428571,228
2136,1388.161818,48698.13,17502.776,0,463.368,5785.804286,331
2136,0,55.322,0,0,0,0,269
2146,0,0,0,0,0,253.0344444,217
2169,0,1258.803529,0,0,0,0,318
2171,1604.011429,1710.004762,0,0,0,0,275
2188,0,0,891.655,0,0,0,301
2199,0,453.803125,0,0,0,0,323
2199,0,360.2357143,0,0,0,0,221
2201,0,226119.0776,1745.545556,4796.4455,0,53142.71857,268
2203,0,73.929,0,0,0,0,321
2210,0,10735.39235,500.4605556,0,204.744,48.08571429,344
2210,0,49.63375,0,0,0,0,361
02210-1226,0,0,0,0,0,1120.374762,284
02210-1851,0,0,0,0,0,0,210
2215,0,5709.897059,10446.81833,0,150.864,1278.31381,211
02215-2737,0,0,0,0,0,0,328
2219,0,0,0,0,0,493.9585714,255
2446,0,189.895625,0,0,0,0,332
2467,0,635.435625,0,0,0,0,304
21220,0,0,0,0,53.88,0,336
21290,0,0,0,0,32.328,0,368
